Course Id	Course-Title	Is Paid	Level	Published Date	Pulished Timestamp	Subject	URL1	CONTENT DURATION in HR's	Num Lectures	Price	Reviews	Students
1070968	Ultimate Investment Banking Course	Paid	All Levels	18/01/17	30/12/1899 12:58:58 pm	Business Finance	https://www.udemy.com/ultimate-investment-banking-course/	0.045138889	51	$200	23	2147
1113822	Complete GST Course & Certification - Grow Your CA Practice	Paid	All Levels	09/03/17	30/12/1899 8:34:20 am	Business Finance	https://www.udemy.com/goods-and-services-tax/	39	274	$75	923	2792
1006314	Financial Modeling for Business Analysts and Consultants	Paid	Intermediate Level	19/12/16	30/12/1899 11:26:30 am	Business Finance	https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/	2.5	51	$45	74	2174
1210588	Beginner to Pro - Financial Analysis in Excel 2017	Paid	All Levels	30/05/17	30/12/1899 1:07:24 am	Business Finance	https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/	3	36	$95	11	2451
1011058	How To Maximize Your Profits Trading Options	Paid	Intermediate Level	13/12/16	30/12/1899 6:57:18 am	Business Finance	https://www.udemy.com/how-to-maximize-your-profits-trading-options/	2	26	$200	45	1276
192870	Trading Penny Stocks: A Guide for All Levels In 2017	Paid	All Levels	02/05/14	30/12/1899 8:13:30 am	Business Finance	https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/	3	25	$150	138	9221
739964	Investing And Trading For Beginners: Mastering Price Charts	Paid	Beginner Level	21/02/16	30/12/1899 10:23:12 am	Business Finance	https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/	1	26	$65	178	1540
403100	"Trading Stock Chart Patterns For Immediate, Explosive Gains"	Paid	All Levels	30/01/15	30/12/1899 2:13:03 am	Business Finance	https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/	2.5	23	$95	148	2917
476268	Options Trading 3 : Advanced Stock Profit and Success Method	Paid	Expert Level	27/05/15	30/12/1899 5:14:03 am	Business Finance	https://www.udemy.com/day-trading-stock-options-3/	2.5	38	$195	34	5172
1167710	The Only Investment Strategy You Need For Your Retirement	Paid	All Levels	18/04/17	30/12/1899 11:13:32 am	Business Finance	https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/	1	15	$200	14	827
592338	Forex Trading Secrets of the Pros With Amazon's AWS	Paid	All Levels	11/09/15	30/12/1899 9:47:02 am	Business Finance	https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/	5	76	$200	93	4284
975046	Trading Options With Money Flow	Paid	All Levels	18/10/16	30/12/1899 3:52:31 am	Business Finance	https://www.udemy.com/trading-options-using-money-flow/	1	17	$200	42	1380
742602	Financial Management Risk and Return For Securities	Paid	All Levels	03/02/16	30/12/1899 10:04:01 am	Business Finance	https://www.udemy.com/risk-and-return-finance/	1.5	19	$30	21	3607
794151	Forex Trading Course: Work Smarter Not Harder Proven Results	Paid	All Levels	16/03/16	30/12/1899 8:40:19 am	Business Finance	https://www.udemy.com/the-complete-trading-course/	2	16	$195	52	4061
1196544	Python Algo Trading: Sentiment Trading with News	Paid	All Levels	28/04/17	30/12/1899 9:41:44 am	Business Finance	https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/	7	42	$200	19	294
504036	Short Selling: Learn To Sell Stocks Before The Fall	Paid	Intermediate Level	22/06/15	30/12/1899 2:18:35 am	Business Finance	https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/	1.5	19	$75	106	2276
719698	Basic Technical Analysis: Learn the structure of the market	Paid	Beginner Level	08/01/16	30/12/1899 9:21:26 am	Business Finance	https://www.udemy.com/learn-basic-technical-analysis/	1.5	16	$20	79	4919
564966	The Complete Chart Pattern Trading Course: A Proven Approach	Paid	All Levels	10/08/15	30/12/1899 2:07:35 am	Business Finance	https://www.udemy.com/make-money-trading-stocks-from-home/	4	52	$200	115	2666
606928	7 Deadly Mistakes of Investing that Will Slash Your Profits!	Paid	All Levels	21/09/15	30/12/1899 11:10:34 am	Business Finance	https://www.udemy.com/7-deadly-mistakes-of-investing/	1.5	23	$50	24	5354
58977	Financial Statements Made Easy	Paid	Beginner Level	08/06/13	30/12/1899 5:21:26 am	Business Finance	https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/	0.583333333	12	$95	249	8095
1242604	Winning Forex Trading with Live Forex Trading Examples	Paid	All Levels	05/06/17	30/12/1899 7:54:04 am	Business Finance	https://www.udemy.com/forexmacross/	2	25	$200	3	809
798740	Forex Traders - Create Your First Trading Robot. No Coding!	Paid	All Levels	02/05/16	30/12/1899 12:26:48 pm	Business Finance	https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/	4	39	$200	84	2295
506568	Create A Business From Home Trading Stocks Today In 2017	Paid	All Levels	26/05/15	30/12/1899 10:25:46 am	Business Finance	https://www.udemy.com/work-from-home-buying-penny-stocks/	2	16	$75	83	10149
1020760	Introduction to Accounting : Mastering Financial Statements	Paid	Beginner Level	05/12/16	30/12/1899 2:14:17 am	Business Finance	https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/	1	23	$50	38	1916
859742	The Complete Ethereum Course: Get .01 Ether In Your Wallet	Paid	All Levels	30/05/16	30/12/1899 11:53:46 am	Business Finance	https://www.udemy.com/ethereum/	2	40	$45	333	2507
383414	Beginner to Pro in PowerPoint: Complete PowerPoint Training	Paid	All Levels	31/01/15	30/12/1899 7:34:05 am	Business Finance	https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/	5	50	$150	518	5786
353044	Investing 101: The Complete Online Investing Course	Paid	All Levels	28/11/14	30/12/1899 9:49:03 am	Business Finance	https://www.udemy.com/online-investing-guide/	4.5	42	$200	373	5334
